Repository Name,PR Title,PR URL,Age (days)
productsupcom/backend-1,DEV-17300 - Data services - custom form,https://github.com/productsupcom/backend-1/pull/3231,0
productsupcom/backend-1,Bump es5-ext from 0.10.53 to 0.10.63,https://github.com/productsupcom/backend-1/pull/3228,1
productsupcom/backend-1,integrate ctm api in export field model PART TWO,https://github.com/productsupcom/backend-1/pull/3192,102
productsupcom/backend-1,integrate ctm api in export field model PART ONE,https://github.com/productsupcom/backend-1/pull/3191,104
productsupcom/backend-1,[DEV-11208] Keycloak integration,https://github.com/productsupcom/backend-1/pull/3158,128
productsupcom/Dataflow,Bump symfony/flex from 2.4.1 to 2.4.4,https://github.com/productsupcom/Dataflow/pull/877,22
productsupcom/Dataflow,Bump symfony/security-csrf from 5.4.27 to 6.4.3,https://github.com/productsupcom/Dataflow/pull/875,27
productsupcom/Dataflow,Bump sentry/sentry-symfony from 4.12.0 to 4.13.2,https://github.com/productsupcom/Dataflow/pull/862,47
productsupcom/Dataflow,Bump jms/serializer-bundle from 5.3.1 to 5.4.0,https://github.com/productsupcom/Dataflow/pull/855,77
productsupcom/Dataflow,[DEV-11208] Keycloak integration,https://github.com/productsupcom/Dataflow/pull/843,102
productsupcom/Dataflow,Bump symfony/yaml from 5.4.30 to 5.4.31,https://github.com/productsupcom/Dataflow/pull/837,107
productsupcom/Dataflow,Bump symfony/translation from 5.4.30 to 5.4.31,https://github.com/productsupcom/Dataflow/pull/836,107
productsupcom/Dataflow,Bump symfony/framework-bundle from 5.4.30 to 5.4.31,https://github.com/productsupcom/Dataflow/pull/835,107
productsupcom/Dataflow,Bump symfony/security-bundle from 5.4.30 to 5.4.31,https://github.com/productsupcom/Dataflow/pull/834,107
productsupcom/Dataflow,Bump symfony/twig-bundle from 5.4.27 to 5.4.31,https://github.com/productsupcom/Dataflow/pull/832,107
productsupcom/Dataflow,Bump symfony/monolog-bundle from 3.8.0 to 3.10.0,https://github.com/productsupcom/Dataflow/pull/828,113
productsupcom/Dataflow,ACC-12776 - Make textareas great again,https://github.com/productsupcom/Dataflow/pull/824,119
productsupcom/Dataflow,Poc/webpack,https://github.com/productsupcom/Dataflow/pull/672,341
productsupcom/Lockets,chore(deps-dev): bump word-wrap from 1.2.3 to 1.2.5,https://github.com/productsupcom/Lockets/pull/52,104
productsupcom/Lockets,chore(deps-dev): bump semver from 5.6.0 to 5.7.2,https://github.com/productsupcom/Lockets/pull/51,104
productsupcom/Lockets,chore(deps-dev): bump browserify-sign from 4.0.4 to 4.2.2,https://github.com/productsupcom/Lockets/pull/49,124
productsupcom/Lockets,chore(deps-dev): bump @babel/traverse from 7.3.4 to 7.23.2,https://github.com/productsupcom/Lockets/pull/48,134
productsupcom/Lockets,chore(deps-dev): bump fsevents from 1.2.7 to 1.2.13,https://github.com/productsupcom/Lockets/pull/47,141
productsupcom/Lockets,fix: adjust websocket-stage hostname,https://github.com/productsupcom/Lockets/pull/46,169
productsupcom/Lockets,Feature/upgrade,https://github.com/productsupcom/Lockets/pull/42,413
productsupcom/Processing,ACC-13054 - testing file export when 2nd file is empty,https://github.com/productsupcom/Processing/pull/1184,8
productsupcom/Processing,Bump productsupcom/lib-dataflow from 7.2.2 to 7.2.4,https://github.com/productsupcom/Processing/pull/1182,20
productsupcom/Processing,Bump productsupcom/dblib from 1.39.0 to 1.40.0,https://github.com/productsupcom/Processing/pull/1171,35
productsupcom/Processing,DEV-14844 - Always preserve the previous count in site channel history,https://github.com/productsupcom/Processing/pull/1121,261
productsupcom/datalib,ACC-13054 - testing file export when 2nd file is empty,https://github.com/productsupcom/datalib/pull/1517,9
productsupcom/datalib,send imported data metrics to influx db,https://github.com/productsupcom/datalib/pull/1516,13
productsupcom/datalib,DEV-14844 - Always preserve the previous count in site channel history,https://github.com/productsupcom/datalib/pull/1481,261
productsupcom/Insight-API,Bump symfony/process from 4.4.44 to 5.4.36,https://github.com/productsupcom/Insight-API/pull/195,0
productsupcom/Insight-API,Bump brianlmoon/net_gearman from 1.0.2 to 2.2.2,https://github.com/productsupcom/Insight-API/pull/193,16
productsupcom/Insight-API,Bump productsupcom/lib-sqlite-analyzer-callbacks from 4.2.5 to 4.2.6,https://github.com/productsupcom/Insight-API/pull/190,89
productsupcom/Insight-API,Bump productsupcom/lib-sqlite-analyzer from 1.15.1 to 1.15.2,https://github.com/productsupcom/Insight-API/pull/189,89
productsupcom/Insight-API,IN-1703: server rename,https://github.com/productsupcom/Insight-API/pull/184,170
productsupcom/processing-gearman-worker,Bump productsupcom/lib-predefined-binary from 6.2.1 to 6.4.0,https://github.com/productsupcom/processing-gearman-worker/pull/269,36
productsupcom/ansible_playbooks,Do not deploy .sql file on staging,https://github.com/productsupcom/ansible_playbooks/pull/2209,1
productsupcom/ansible_playbooks,Nginx platform mirror feedmap fix,https://github.com/productsupcom/ansible_playbooks/pull/2206,7
productsupcom/ansible_playbooks,In 2176,https://github.com/productsupcom/ansible_playbooks/pull/2204,12
productsupcom/ansible_playbooks,Mariadb in docker,https://github.com/productsupcom/ansible_playbooks/pull/2203,14
productsupcom/ansible_playbooks,IN-2491: pda staging php8.2,https://github.com/productsupcom/ansible_playbooks/pull/2162,40
productsupcom/ansible_playbooks,Add datacheck to Netbox inventory,https://github.com/productsupcom/ansible_playbooks/pull/2148,48
productsupcom/ansible_playbooks,Improvements for the prometheus executor script,https://github.com/productsupcom/ansible_playbooks/pull/2136,63
