Name,URL,Visibility,Created At,Last Push,Description
pup,https://github.com/productsupcom/pup,Private,2011-01-29T17:12:30Z,2014-06-04T06:44:12Z,PUP
static.productsup.com,https://github.com/productsupcom/static.productsup.com,Private,2011-05-26T14:17:58Z,2012-10-04T12:58:16Z,
Logfile-Parser,https://github.com/productsupcom/Logfile-Parser,Private,2011-08-12T06:52:37Z,2022-04-21T13:13:26Z,Logfile Parser to process NGINX logfiles to fill Redis with data
Shop-Tracking,https://github.com/productsupcom/Shop-Tracking,Private,2011-08-15T08:46:10Z,2022-04-21T13:18:25Z,"Codebase to track shop actions (track, cart, sale)"
Ad-Library,https://github.com/productsupcom/Ad-Library,Private,2011-08-19T12:52:34Z,2022-04-21T12:55:02Z,
Tracking-Codes,https://github.com/productsupcom/Tracking-Codes,Private,2011-09-05T05:59:00Z,2022-04-21T13:19:07Z,
Reporting,https://github.com/productsupcom/Reporting,Private,2011-09-20T08:38:15Z,2022-04-21T13:17:57Z,
Support-Scripts,https://github.com/productsupcom/Support-Scripts,Private,2011-11-08T07:51:41Z,2022-04-21T13:18:50Z,
adwords,https://github.com/productsupcom/adwords,Private,2012-06-15T15:21:22Z,2014-11-18T10:50:55Z,"[UNMAINTAINED] [DEPRECATED] Old library for AdWords API, already not working."
Optimizer,https://github.com/productsupcom/Optimizer,Private,2012-10-09T09:30:34Z,2022-04-21T13:15:24Z,
cw-libs,https://github.com/productsupcom/cw-libs,Private,2012-10-22T08:12:26Z,2022-04-21T13:07:16Z,Conversionwunder Modules
cw-nginx,https://github.com/productsupcom/cw-nginx,Private,2012-10-22T08:14:29Z,2019-02-27T08:09:17Z,Conversionwunder NGINX
cw-logfile,https://github.com/productsupcom/cw-logfile,Private,2012-10-22T08:14:56Z,2018-05-24T10:13:35Z,Conversionwunder Logfile Parser
Accounting,https://github.com/productsupcom/Accounting,Private,2012-10-25T11:35:40Z,2022-04-21T12:54:58Z,This library is deprecated. Please use Billing instead
cw-config,https://github.com/productsupcom/cw-config,Private,2012-11-22T13:08:12Z,2022-04-21T13:07:14Z,
text-data,https://github.com/productsupcom/text-data,Private,2013-01-16T09:50:37Z,2022-04-21T13:19:03Z,
backend-1,https://github.com/productsupcom/backend-1,Private,2013-03-01T15:22:49Z,2024-02-28T07:27:22Z,The Productsup Platform
Dataflow,https://github.com/productsupcom/Dataflow,Private,2013-04-16T07:58:03Z,2024-02-28T07:57:56Z,Dataflow connection management tool
revenues.io,https://github.com/productsupcom/revenues.io,Private,2013-05-08T05:47:16Z,2022-04-21T13:18:03Z,
Lockets,https://github.com/productsupcom/Lockets,Private,2013-06-27T11:21:39Z,2023-11-28T13:07:55Z,ProductsUp logfile to websocket Server
dblib,https://github.com/productsupcom/dblib,Private,2013-09-04T11:59:33Z,2024-01-23T10:47:21Z,
pds-utils,https://github.com/productsupcom/pds-utils,Private,2013-09-04T12:11:18Z,2022-04-21T13:15:33Z,
Config,https://github.com/productsupcom/Config,Private,2013-09-24T09:38:25Z,2022-04-21T13:06:58Z,Config
Insight,https://github.com/productsupcom/Insight,Private,2013-09-26T07:21:26Z,2018-08-30T13:34:49Z,Tabular data editor. No longer maintained.
Processing,https://github.com/productsupcom/Processing,Private,2013-09-26T07:23:14Z,2024-02-27T14:34:17Z,Processing Executables
datalib,https://github.com/productsupcom/datalib,Private,2013-11-18T10:50:15Z,2024-02-21T16:14:57Z,
merchantcenter,https://github.com/productsupcom/merchantcenter,Private,2014-02-18T20:46:37Z,2022-04-21T13:14:57Z,
Insight-API,https://github.com/productsupcom/Insight-API,Private,2014-03-07T13:14:55Z,2024-02-28T04:28:57Z,
affilinet,https://github.com/productsupcom/affilinet,Private,2014-04-07T08:43:22Z,2019-09-10T11:29:58Z,Affilinet Library
Plugins,https://github.com/productsupcom/Plugins,Private,2014-04-28T19:39:53Z,2023-10-13T08:03:36Z,
